Date,Open,High,Low,Close
04/16/2022,"14.0056","14.2500","13.8503","13.9339"
04/15/2022,"13.6259","14.0430","13.6259","14.0056"
04/14/2022,"14.1079","14.3226","13.3368","13.6259"
04/13/2022,"13.7726","14.2000","13.6935","14.1080"
04/12/2022,"13.8000","14.3102","13.5383","13.7726"
04/11/2022,"15.8844","15.9046","13.7448","13.8000"
04/10/2022,"15.2522","15.9160","15.2419","15.8844"
04/09/2022,"15.4384","15.4735","15.0464","15.2522"
04/08/2022,"15.6952","15.8905","15.2165","15.4384"
04/07/2022,"15.6852","15.8741","15.1201","15.6952"
04/06/2022,"17.0546","17.0753","15.3659","15.6852"
04/05/2022,"17.3464","17.6429","16.9430","17.0112"
04/04/2022,"17.9180","18.3076","16.8416","17.3464"
04/03/2022,"17.5601","18.2490","17.1718","17.9180"
04/02/2022,"17.1243","17.8558","17.1231","17.5601"
04/01/2022,"16.9308","17.3606","16.2116","17.1243"
03/31/2022,"17.2500","18.0400","16.6610","16.9308"
03/30/2022,"16.7957","17.5631","16.5562","17.2686"
03/29/2022,"17.1169","17.5117","16.4201","16.7957"
03/28/2022,"16.6089","17.3755","16.5484","17.1169"
03/27/2022,"15.7853","16.6204","15.6546","16.5853"
03/26/2022,"15.6417","15.9410","15.4997","15.7853"
03/25/2022,"16.1700","16.4543","15.4841","15.6417"
03/24/2022,"15.6205","16.4237","15.5795","16.1700"
03/23/2022,"15.5545","15.9318","15.1514","15.6205"
03/22/2022,"14.9000","15.8470","14.8500","15.5545"
03/21/2022,"14.5887","15.2702","14.3242","14.9000"
03/20/2022,"15.1462","15.2321","14.4524","14.5887"
03/19/2022,"14.9895","15.3960","14.8573","15.1462"
03/18/2022,"14.4719","15.2709","14.1312","14.9992"
03/17/2022,"14.6273","14.9044","14.2508","14.4719"
03/16/2022,"13.4724","14.6876","13.4182","14.6384"
03/15/2022,"12.9067","13.6692","12.8965","13.4818"
03/14/2022,"13.0504","13.3477","12.6022","12.9067"
03/13/2022,"13.2791","13.4112","12.9667","13.0504"
03/12/2022,"13.1532","13.4394","13.0463","13.2791"
03/11/2022,"13.1965","13.6414","12.8282","13.1239"
03/10/2022,"13.8722","14.0967","13.0144","13.1965"
03/09/2022,"12.9080","14.4242","12.9080","13.8722"
03/08/2022,"12.5683","13.5190","12.5628","12.9080"
03/07/2022,"13.7273","13.8177","12.4304","12.5683"
03/06/2022,"13.9859","14.1031","13.4543","13.7200"
03/05/2022,"13.8527","14.2658","13.4366","13.9814"
03/04/2022,"14.8174","15.0099","13.6273","13.8527"
03/03/2022,"15.4738","15.5174","14.5052","14.8174"
03/02/2022,"15.0954","15.8541","14.9637","15.4460"
03/01/2022,"14.6471","15.7247","14.6471","15.0954"
02/28/2022,"13.7029","14.8155","13.3373","14.6500"
02/27/2022,"14.8019","14.8215","13.4997","13.7281"
02/26/2022,"14.1468","14.9362","14.0891","14.8019"
02/25/2022,"13.3621","14.1588","12.9850","14.1588"
02/24/2022,"13.6630","13.9294","11.4363","13.3621"
02/23/2022,"13.9491","14.6542","13.6128","13.6630"
02/22/2022,"13.6655","14.1845","13.0720","13.9491"
02/21/2022,"14.5734","15.3087","13.7018","13.7018"
02/20/2022,"15.4018","15.5572","14.4246","14.5734"
02/19/2022,"15.1951","15.6673","14.8600","15.4018"
02/18/2022,"15.7017","16.0446","15.0530","15.1983"
02/17/2022,"17.1349","17.4410","15.4820","15.7146"
02/16/2022,"16.8526","17.4475","16.5420","17.1349"
02/15/2022,"15.7037","17.0736","15.6556","16.9010"
02/14/2022,"15.7732","16.1246","15.2302","15.7122"
02/13/2022,"15.8099","16.3275","15.5553","15.7732"
02/12/2022,"16.4230","16.4230","15.5713","15.8099"
02/11/2022,"17.7286","17.8505","16.3404","16.4230"
02/10/2022,"18.7017","18.7490","17.4151","17.7077"
02/09/2022,"18.3589","18.7565","17.7784","18.7017"
02/08/2022,"18.9993","19.5449","17.7712","18.3872"
02/07/2022,"17.5936","19.4000","17.5395","18.9690"
02/06/2022,"17.7934","18.1656","17.2156","17.5936"
02/05/2022,"17.1714","18.3184","17.0781","17.8049"
02/04/2022,"16.2048","17.1889","16.0399","17.1714"
02/03/2022,"15.8226","16.2931","15.2764","16.2048"
02/02/2022,"17.1259","17.3615","15.6417","15.7727"
02/01/2022,"17.1682","17.8728","16.8451","17.0874"
01/31/2022,"17.4122","18.0755","16.5014","17.1682"
01/30/2022,"16.4522","17.8271","16.0199","17.4122"
01/29/2022,"16.0472","16.7451","15.9361","16.4494"
01/28/2022,"14.8231","16.2808","14.5328","16.0472"
01/27/2022,"14.7836","15.7016","14.3160","14.8264"
01/26/2022,"15.2697","16.7814","14.7385","14.7658"
01/25/2022,"15.6730","16.0200","14.5948","15.2697"
01/24/2022,"15.5776","16.6455","13.4924","15.6456"
01/23/2022,"16.2326","16.7734","15.1731","15.6027"
01/22/2022,"17.9094","18.1756","14.3503","16.2326"
01/21/2022,"20.8723","20.9599","17.2796","17.9256"
01/20/2022,"21.6543","22.9812","20.8848","20.8848"
01/19/2022,"22.9623","23.3200","21.2199","21.6543"
01/18/2022,"23.5209","24.3103","22.0639","22.9623"
01/17/2022,"25.6454","25.7434","23.2720","23.5188"
01/16/2022,"25.4206","26.3550","24.6945","25.6454"
01/15/2022,"25.1168","26.1947","25.0234","25.4206"
01/14/2022,"25.1286","25.3174","23.9423","25.1168"
01/13/2022,"26.6380","26.9370","24.4691","25.1286"
01/12/2022,"26.8015","27.2570","25.6616","26.6380"
01/11/2022,"27.4553","28.6719","25.8726","26.7295"
01/10/2022,"28.1957","28.4990","25.1412","27.5009"
01/09/2022,"25.1407","28.6485","25.1306","28.2137"
01/08/2022,"26.2876","27.3057","23.5941","25.2422"
01/07/2022,"24.9429","27.3067","22.7241","26.2607"
01/06/2022,"24.2486","25.9500","22.4410","24.9533"
01/05/2022,"24.2176","27.4215","23.3334","24.2486"
01/04/2022,"22.9342","24.4666","22.8000","24.2176"
01/03/2022,"21.9000","23.3987","21.2772","22.9342"
01/02/2022,"20.3980","22.1941","20.3023","21.9000"
01/01/2022,"19.6352","20.4388","19.4932","20.3980"
12/31/2021,"19.9805","20.6046","19.0465","19.6200"
12/30/2021,"20.2373","20.4059","19.1886","19.9702"
12/29/2021,"20.5847","20.9540","19.6600","20.2300"
12/28/2021,"23.6066","23.6966","20.5658","20.5658"
12/27/2021,"23.2575","24.4794","22.8000","23.6783"
12/26/2021,"22.2117","23.5320","21.1616","23.2181"
12/25/2021,"21.9109","22.3800","21.2657","22.2117"
12/24/2021,"21.5863","22.6535","21.4437","21.9109"
12/23/2021,"20.3515","21.9948","19.5889","21.5609"
12/22/2021,"19.3740","20.7851","19.2484","20.3612"
12/21/2021,"18.8360","19.4178","18.3689","19.3707"
12/20/2021,"19.0208","19.2221","18.0658","18.8360"
12/19/2021,"19.5632","20.3647","18.8351","19.0147"
12/18/2021,"18.4240","19.9857","17.8413","19.5587"
12/17/2021,"19.2048","19.2274","17.7724","18.4240"
12/16/2021,"19.8074","20.3257","18.9464","19.2048"
12/15/2021,"18.3750","19.9470","17.3945","19.8074"
12/14/2021,"17.8889","18.5934","17.4584","18.3529"
12/13/2021,"20.5800","20.6778","17.3287","17.9110"
12/12/2021,"19.5603","20.7949","19.2506","20.5818"
12/11/2021,"19.2870","20.1897","18.2199","19.5711"
12/10/2021,"20.7621","20.8857","18.9013","19.2970"
12/09/2021,"22.4721","23.0420","20.2955","20.7621"
12/08/2021,"20.5940","23.1604","20.1900","22.4721"
12/07/2021,"19.3764","21.1547","19.3764","20.5951"
12/06/2021,"19.2499","19.5534","17.2453","19.3407"
12/05/2021,"20.7273","20.9000","18.5302","19.2816"
12/04/2021,"23.4175","23.4690","16.0265","20.7273"
12/03/2021,"24.8215","25.8669","22.6026","23.4322"
12/02/2021,"25.3100","25.4755","24.2471","24.8215"
12/01/2021,"25.7021","26.9182","25.0105","25.3388"
11/30/2021,"25.0327","26.5268","24.1879","25.7183"
11/29/2021,"24.4193","25.5367","24.1548","25.0327"
11/28/2021,"24.1765","24.5038","22.7100","24.4193"
11/27/2021,"24.2424","24.9727","23.8214","24.1765"
11/26/2021,"26.3285","26.5715","23.1250","24.2539"
11/25/2021,"25.6302","27.5823","25.4052","26.3152"
11/24/2021,"26.9798","27.1383","25.1886","25.6302"
11/23/2021,"26.6773","27.5814","26.2162","26.9798"
